Using device cuda
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.9999e-01 9.9900e-01 9.9800e-01 ... 2.0000e-03 1.0000e-03 1.0000e-05]
gamma [-11.51291546  -6.90675478  -6.2126061  ...   6.2126061    6.90675478
  11.51291546]
Epoch: 0, iter: 0/1563, Loss 4.56, NLL: 4.56, RegTerm: 0.0, GradNorm: 115.2
Clipped gradient with value 95609.6 while allowed 5221.2
Epoch: 0, iter: 1/1563, Loss 23.26, NLL: 23.26, RegTerm: 0.0, GradNorm: 95609.6
Epoch: 0, iter: 2/1563, Loss 4.18, NLL: 4.18, RegTerm: 0.0, GradNorm: 93.5
Epoch: 0, iter: 3/1563, Loss 3.86, NLL: 3.86, RegTerm: 0.0, GradNorm: 113.8
Epoch: 0, iter: 4/1563, Loss 3.72, NLL: 3.72, RegTerm: 0.0, GradNorm: 92.8
Epoch: 0, iter: 5/1563, Loss 3.88, NLL: 3.88, RegTerm: 0.0, GradNorm: 93.8
Epoch: 0, iter: 6/1563, Loss 3.83, NLL: 3.83, RegTerm: 0.0, GradNorm: 82.8
Epoch: 0, iter: 7/1563, Loss 3.64, NLL: 3.64, RegTerm: 0.0, GradNorm: 56.8
Epoch: 0, iter: 8/1563, Loss 3.44, NLL: 3.44, RegTerm: 0.0, GradNorm: 35.2
Epoch: 0, iter: 9/1563, Loss 3.55, NLL: 3.55, RegTerm: 0.0, GradNorm: 17.8
Epoch: 0, iter: 10/1563, Loss 3.46, NLL: 3.46, RegTerm: 0.0, GradNorm: 22.7
Epoch: 0, iter: 11/1563, Loss 3.61, NLL: 3.61, RegTerm: 0.0, GradNorm: 45.7
Epoch: 0, iter: 12/1563, Loss 3.44, NLL: 3.44, RegTerm: 0.0, GradNorm: 41.7
Epoch: 0, iter: 13/1563, Loss 3.44, NLL: 3.44, RegTerm: 0.0, GradNorm: 34.8
Epoch: 0, iter: 14/1563, Loss 3.42, NLL: 3.42, RegTerm: 0.0, GradNorm: 34.6
Epoch: 0, iter: 15/1563, Loss 3.47, NLL: 3.47, RegTerm: 0.0, GradNorm: 10.0
Epoch: 0, iter: 16/1563, Loss 3.33, NLL: 3.33, RegTerm: 0.0, GradNorm: 10.5
Epoch: 0, iter: 17/1563, Loss 3.45, NLL: 3.45, RegTerm: 0.0, GradNorm: 113.3
Epoch: 0, iter: 18/1563, Loss 3.31, NLL: 3.31, RegTerm: 0.0, GradNorm: 12.8
Epoch: 0, iter: 19/1563, Loss 3.20, NLL: 3.20, RegTerm: 0.0, GradNorm: 19.6
